Date; Latitude (°); Longitude (°); Altitude (from ground, in m); Heading (°); Speed (km/h); Valid crc
lun. 12. août 14:17:10 2013; 43.6309; 1.37744; 140.644; 237.64; 0; 1
lun. 12. août 14:17:11 2013; 43.6309; 1.37744; 140.644; 249.51; 0; 1
lun. 12. août 14:17:11 2013; 43.6309; 1.37744; 140.644; 283.61; 0; 1
lun. 12. août 14:17:12 2013; 43.6309; 1.37744; 140.644; 249.23; 0; 1
lun. 12. août 14:17:12 2013; 43.6309; 1.37744; 140.644; 240.08; 0; 1
lun. 12. août 14:17:13 2013; 43.6309; 1.37744; 140.644; 235.83; 0; 1
lun. 12. août 14:17:13 2013; 43.6309; 1.37744; 140.644; 230.65; 0; 1
lun. 12. août 14:17:13 2013; 43.6309; 1.37744; 140.644; 227.03; 0; 1
lun. 12. août 14:17:14 2013; 43.6309; 1.37744; 140.644; 227.08; 0; 1
lun. 12. août 14:17:14 2013; 43.6309; 1.37744; 140.644; 225.42; 0; 1
lun. 12. août 14:17:15 2013; 43.6309; 1.37744; 140.644; 224.94; 0; 1
lun. 12. août 14:17:15 2013; 43.6309; 1.37744; 140.644; 222.13; 0; 1
lun. 12. août 14:17:16 2013; 43.6309; 1.37744; 140.644; 223.54; 0; 1
lun. 12. août 14:17:16 2013; 43.6309; 1.37744; 140.644; 223.54; 0; 1
lun. 12. août 14:17:17 2013; 43.6309; 1.37744; 140.644; 221.34; 0; 1
lun. 12. août 14:17:17 2013; 43.6309; 1.37744; 140.644; 219.85; 0; 1
lun. 12. août 14:17:17 2013; 43.6309; 1.37744; 140.644; 219.21; 0; 1
lun. 12. août 14:17:18 2013; 43.6309; 1.37744; 140.644; 219.18; 0; 1
lun. 12. août 14:17:18 2013; 43.6309; 1.37744; 140.644; 219.18; 0; 1
lun. 12. août 14:17:19 2013; 43.6309; 1.37744; 140.644; 219.28; 0; 1
lun. 12. août 14:17:19 2013; 43.6309; 1.37744; 140.644; 217.04; 0; 1
lun. 12. août 14:17:20 2013; 43.6309; 1.37744; 140.644; 219.82; 0; 1
lun. 12. août 14:17:20 2013; 43.6309; 1.37744; 140.644; 215.62; 0; 1
lun. 12. août 14:17:20 2013; 43.6309; 1.37744; 140.644; 209.7; 0; 1
lun. 12. août 14:17:21 2013; 43.6309; 1.37744; 140.644; 180.39; 0; 1
lun. 12. août 14:17:21 2013; 43.6309; 1.37744; 140.644; 165.93; 0; 1
lun. 12. août 14:17:22 2013; 43.6309; 1.37744; 140.644; 202.38; 0; 1
lun. 12. août 14:17:22 2013; 43.6309; 1.37744; 140.644; 194.65; 0; 1
